mandarin_name,english_name,address,cuisine_type,price_level,opening_hours,dine_in,review_1,review_2,review_3,review_4,review_5
Lazy Pasta 慵懶義式廚房文山政大店,Lazy Pasta ,"No. 161, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116","italian, western","mid-range, moderate prices, $200-$400",Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,has dine-in seating,"I ordered a vegetarian portion. It went beyond what I had expected. The meal is not too heavy with vegetables, the noodles are stir-fried with mushrooms and zucchini to create an irresistible aroma.","Bacon spaghetti with garlic oils tastes so good and not that heavy to eat. It is also the recommended menu. So many people came here for dinner, need to wait first. The price seems up-middle average, a little bit more expensive than what I expected. The waitress was really kind and friendly.",Delicious pasta. The price just raised for a bit but still reasonable. 1 and a half hour time limit is perfectly enough for a friend catch-up. You can also get free bread and green tea for joining membership.,This place has its purpose and it serves it well. To offer cheap pasta in a clean environment. I also highly value that they are open the whole day. The staff is also very attentive and friendly.,"A nice pasta place in the Chengta campus area with efficient service, decent food and clean toilet.  The tables are small and crammed together like most places in the area but still comfortable for enjoying a meal. Expect noise when it's crowded. The aisle and spacing are not designed for wheelchair users."
FEED ZONE CAFE 運動早午餐,FEED ZONE CAFE,"1F, No.189, Xingguang Rd, Section 1, Wenshan District, Taipei City, Taiwan, 116",brunch,"mid-range, moderate prices, $200-$400",Monday: Closed | Tuesday: 10:30 AM – 5:00 PM | Wednesday: 10:30 AM – 5:00 PM | Thursday: 10:30 AM – 5:00 PM | Friday: 10:30 AM – 5:00 PM | Saturday: 8:30 AM – 5:00 PM | Sunday: 8:30 AM – 5:00 PM,has dine-in seating,"Great place for a coffee or to grab a delicious quick bite. Amazing bikes and accessories as well, they even sell 'A Cyclist's Guide to Taiwan' 😊",Incredibly tasty food—I totally did not expect this. Friendly owner and even some pretty delicious drinks. Really enjoyed the soicey chicken dish and the cinnamon bun.,"A must-stop for cyclists near Taipei Zoo!
This spot is a hidden treasure for bikers, perfect for a post-ride coffee break for a much-needed carb and protein refill. Whether you’ve tackled one of the challenging bike routes or just enjoyed a scenic ride, this café has exactly what you need to recharge. The location is unbeatable, right next to Taipei Zoo and surrounded by a variety of biking paths, from easy to adventurous. The shop itself is modern, stylish, and clearly designed with cyclists in mind. The owner has created a space that’s both trendy and functional.

The coffee is excellent, and their food options are thoughtfully crafted for riders, balanced with carbs and protein to help you refuel properly. They also carry a great selection of cycling accessories, including clip-in shoes, jerseys, and more. It’s also a social hub, perfect for meeting fellow riders, sharing stories, and taking a well-earned break. This is definitely a place I’ll keep coming back to.",Awesome! Derailed review later. Recommended!,"Went there to grab a quick coffee and I tried the Cherry Ice coffee. It was amazing ! They offers a wide nice coffee, latte and things like that. Food also looked excellent. The setting is funny, you are surrounded by biking gears and staff was super friendly. They also offer biking gear and organise bike trip on Wednesday ! You should come and see"
Juicy Bun Burger 就是棒 美式餐廳 政大店,Juicy Bun Burger,"1F, No.19, Wanshou Rd, Wenshan District, Taipei City, Taiwan, 116","american, western","mid-range, moderate prices, $200-$400",Monday: 11:30 AM – 10:00 PM | Tuesday: 11:30 AM – 10:00 PM | Wednesday: 11:30 AM – 10:00 PM | Thursday: 11:30 AM – 10:00 PM | Friday: 11:30 AM – 10:00 PM | Saturday: 10:30 AM – 10:00 PM | Sunday: 10:30 AM – 10:00 PM,has dine-in seating,"I absolutely loved this place! The Chili con Carne Omelette was incredibly delicious, the omelette was so fluffy, and when combined with the rich Pork meat sauces, it became really special and full of flavor. You can tell a lot of care went into making it. I also really enjoyed the bagel, it was fresh and paired perfectly with the meal. The fries were perfectly golden and crispy, and honestly hard to stop eating.
Definitely a spot I’d come back to again!","Delicious! Portion size was great. We actually weren't able to finish, but the prices were decent! Fried mozzarella cheese sticks were the best! Looking forward to our next visit!","Near NCCU, it's where students come for burgers and other dishes! Even though it serves in a not so fancy plates and decorations, the prices are reasonable, and the taste is good. Additionally, there are refillable drinks when you order a set.

I came here during lunch on a weekday, and it was full of people! So, if you need a big table, you can reserve in advance as well.","It’s a great place to enjoy the fat food!😆
Burgers are yum and juicy. Beverages are unlimited. Staff are friendly.
Only one thing could be better…
Staff ask us to move our seats for other customers while we are eating. However, no one help us move our things.","It is a nice place for localized burgers in a college town, lots of energy and young crowd. I found out Taiwanese like their bacon “half cooked” compared to what people do in the States. The bacon needs to be crispy with a beautiful dark brown color in a bacon cheese burger."
匠定食食堂,Takumi Teishoku,"1F, No.207, Zhinan Rd, Section 2, Wenshan District, Taipei City, Taiwan, 116","japanese, asian","mid-range, moderate prices, $200-$400","Monday: Closed | Tuesday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Wednesday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Thursday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Friday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Saturday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Sunday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM",has dine-in seating,"Best tonkotsu I’ve ever tried in Taipei so far! Extremely crispy, juicy, with thick slab of meat😍 Overall very fulfilling, with free flow of rice, various tea, and miso soup😋 Although the price is quite high, but trust me it’s worth it, CP value is high！Bosses are also really nice and considerate. I ate 2 days straight in a row because it was too tasty!","Extra-large takeout bento box! Includes main course, shredded cabbage, soft-boiled egg, pickled radish, kimchi, shredded burdock, Japanese-style salad, rice, miso soup, and dressing for the main course. Super filling and delicious, excellent value for money! Refills of rice and miso soup are available for dine-in.","Prices are high, cash only, and the taste was just average in my opinion. I would only consider visiting again if there were discounts. However, the atmosphere was nice.","Even better than the Leshan food I remember!

The crispy fried pork chop is fantastic in both texture and flavor. A business lunch for 199 yuan – highly recommended!

Now that this place is open, I don't need to go to Fushengting on Zhinan Road anymore.","Everything from the side dishes to the main courses was delicious and worth the price. The grilled miso halibut was tender and delicate, a rarity in typical Japanese set meals. The fried pork cutlet was crispy on the outside and tender on the inside, better than those from chain restaurants, and the portion of tartar sauce was generous."
舒曼六號餐館 動物園政大店,Schumann’s BISTRO NO. 6,"No. 6, Wanshou Rd, Wenshan District, Taipei City, Taiwan 116","german, western","mid-range, moderate prices, $400-$600",Monday: 11:00 AM – 9:30 PM | Tuesday: 11:00 AM – 9:30 PM | Wednesday: 11:00 AM – 9:30 PM | Thursday: 11:00 AM – 9:30 PM | Friday: 11:00 AM – 9:30 PM | Saturday: 11:00 AM – 9:30 PM | Sunday: 11:00 AM – 9:30 PM,has dine-in seating,"Came to NCCU to visit a friend and she brought me to this amazing brunch place which i really was amazed by their delicious food and the interior design from the inside out!! It has a very artsy, rock n roll kind of musician style, the lighting and everything in it makes the entire ambiance of having a brunch inside perfectly match with a sunday afternoon mood. We ordered a Schumann’s brunch (comes with ice americano which also quite good), an energy rice bowl(spice chicken breast tastes not spicy at all but the mayo sauce mixed into the rice was really fantastic!!) and also a chicken kebab.
Overall, it was a great experience here. The staffs are quite busy talking to each other and doing their own business but i think it’s fine… Definitely coming back for the FOOD 😜","Not recommend, not authentic, not worth time and money.

Risotto 3/10, dry, bland and most disrespectful and not acceptable is the rice their use isnt RISOTTO rice. You can't use white rice to make risotto.

Doner Kebab 2/10, Döner is my most favorite food in the world. It's farrrrrrrrrr to be called döner kebab. I am not sure if it's fusion or not, but it is a BIG NO NO to order.

Currywurst 6/10, it is in ok and edible level. Fries was the best among foods we ordered.

Mushroom soup 3/10, very watery and almost no taste.

Banana bread 0/10, as a professional baker, this is a HARD ROCK CAFE, I mean it's not edible. DRY AND HARD AS ROCK.

Service girl is ok.. foods was serve after 27 minutes she took our order.

The atmosphere is ok industrial loft decor. But the tables layout is really tight. I almost sit next to another table. I barely can squeeze out.","Cramped staircase, but the food was excellent. Would definitely come back to try their other dishes. Had their Doner Kebab during my first visit. It was filling and worth every single dollar.","I had no idea there was a good restaurant near NCCU, right across from the campus. I ordered the pork knuckle risotto set, which came with a cream soup. The taste was great, and it’s definitely good value for the price! I’d love to come back and try more of their dishes. I remember really enjoying my lunch here.","Was expecting authentic Bavarian pork Knockles from the shop’s name so was disappointed when it came off the bone. Small portion size, nicely flavoured but no authenticity at all. Very cosy setting, tables are very close together."
小尚品精制鍋物-達賢館（政大店）,Xiao Shang Pin Premium Hot Pot – Daxian Branch (NCCU Store),"Room 2, No. 36, Wanshou Rd., Zhengda Village (1F, Room 01B01, Daxian Library), Wenshan District, Taipei City 116","hot pot, taiwanese, asian, chinese","$200-$400, mid-range, moderate prices",Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,has dine-in seating,"This dish is particularly popular in Taiwanese restaurants and in Asia in general.

The space is small, but the layout is quite sensibly designed.

The vegetables and meat are fresh; you can almost tell they don't use frozen food. The dipping sauce isn't particularly varied, but there are still enough ingredients for customers to customize it to their liking. The milk tea is flavorful, if a bit sweet. The black tea is truly aromatic and delicious.

The ice cream display has a small problem: it's quite messy, and after customers have received their ice cream, it often looks quite messy.

The biggest drawback, however, is that, despite being located on a university campus, the staff speaks very little English. This is extremely difficult for Europeans like us, because even the menu isn't in English, the sauces aren't labeled in English, and we're forced to use a translation device or taste everything before making the exact choice we want.

We hardly find any vegetarian dishes here. It's all about hot pot.

There are plenty of parking spaces or paid parking spaces available.

The space is small, certainly not convenient if you have active children.

And wheelchairs are also very difficult to maneuver in this space.

This place doesn't charge fees for transfers or card payments; most payments are made in cash.

But even so, I'm still willing to come back here or introduce friends if I get the chance.

One more thing to note: If you're a student at the school, you'll get a discount or at least some great offers.","The ingredients are fresh, the meat plate has a lot of meat, the vegetable plate is mainly vegetables, and dumplings need to be ordered separately, so it tastes very healthy XD","The restaurant was clean and the seating was fairly comfortable. I personally felt the portions of vegetables and meat were quite generous, and the complimentary clams were a nice touch. For $295, it's excellent value for money. There's convenient indoor paid parking downstairs. Currently, they only accept cash and Taiwan Pay.","Located downstairs in the Daxian Library at National Chengchi University~

📍Restaurant Environment and Service
The space isn't large, and the tables and sauce area are quite cramped, but there are still plenty of seats, haha. The staff are very friendly, but it seems like they're short-staffed. So when calling to make a reservation, it always takes several tries to get through 🤣

📍Food
This time I ordered the pork hot pot, and with my student ID, I got an extra plate of meat! Although the pork was a bit thin, the extra chicken was quite substantial. The broth was good, the side dishes were mainly whole vegetables, and the udon noodles were similar to those at hot pot noodle shops. They have sauces, drinks, and ice cream, so I think it's great value for money!","Located on the first floor of the National Chengchi University Library, this place has a fresh, modern decor with a small pond in front, creating a wonderful atmosphere.

The staff are friendly and courteous.

Xiao Shangpin always comes with a meat plate when you order two hot pots.

The plate only contains vegetables, which is very healthy and fresh.

I wouldn't recommend the pork or chicken! The quality needs improvement; both have a meaty smell.

The marinated beef is delicious.

The drinks and ice cream at the buffet are pretty good."
首思義義式餐坊,So sweet,"2F, No.32, Zhinan Rd, Section 2, Wenshan District, Taipei City, Taiwan, 116","italian, western","$200-$400, mid-range, moderate prices",Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: Closed | Sunday: Closed,has dine-in seating,Nice food!,Small amount of food. Taste is average.,"Visited during dinner time on a weekday.
The Mexican cream pasta with a mild spicy flavor was quite delicious. The apple sparkling drink with agar jelly wasn’t overly sweet, and the large size was very refreshing.
They also accept electronic payment, which is very convenient.","This place has a really great location! It’s up a rather inconspicuous staircase right next to the main gate of National Chengchi University. It’s a nice spot to spend some time, and I’m sure students at NCCU are quite familiar with it.
That day, I ordered the safer choice — pesto pasta. Unfortunately, the pasta was a bit too firm, and the sauce tasted fairly ordinary without anything particularly memorable.","The white wine clam spaghetti was delicious and great value for money.

The honey ice cream was also good, but the portion was a bit small.
I'd definitely add $10 for a full serving of honey ice cream 🥹

(The richest honey ice cream I've ever had!)

I saw my friend eating Mexican sauce with fried chicken thighs, and it looked pretty good too.

I'd like to try it next time! Perfect for a meal after class with friends."
政大原汁牛肉麵,Zheng Dayuan Zhi Beef Noodle Restaurant,"No. 59, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116011","taiwanese, asian, chinese","$100-$200, cheap, budget-friendly",Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,has dine-in seating,The photo shows what supposed to be a bigger portion and that costs you additional 50 dollars. Just doesn’t make sense. The beef is ok and the broth is on the oily side. Free soybean milk is fancy and there are quite a few other free add-ons. I don’t feel it justifies the price.,"Customers are expected to read the instructions and place their orders at the counter themselves, while the staff are responsible for serving the dishes and clearing the tables. There wasn’t any particularly notable service, so I gave the service category 3 stars.
For the atmosphere, the place was clean and tidy with bright lighting. The music volume was moderate, and the tables and chairs were arranged comfortably without feeling crowded. Overall, it was quite pleasant, so I gave this category 4 stars.
As for the food, the wide noodles were cooked to the perfect texture — neither too soft nor too firm — and had a pleasant wheat aroma 👍. The clear-broth beef soup was rich, flavorful, and naturally sweet, yet not overly heavy; even after finishing the whole bowl, I didn’t feel thirsty 👍👍. The portion of beef felt just right — satisfying enough, while still leaving you wanting to come back again next time. The meat was tender with a nice balance of lean meat and a little bit of fat for extra flavor. Absolutely delicious 👍👍👍.
The side dishes were a bit disappointing in comparison. Because the beef and soup were so good, the braised egg only felt average — neither bad nor particularly memorable. The tofu was cut in a standard way, not the thinly sliced type that’s extra flavorful and addictive. As for the kelp, it was over-braised, too soft, and tasted overly salty.","The broth was excellent, but the noodles were just average, the beef portion was a bit small, and the price was on the expensive side. Overall, the business was good, with a constant stream of customers. The owner looked fierce, but the service was quite good. The environment was simply and cleanly decorated, with old-fashioned bowls, rattan chairs, and stainless steel folding tables giving it a slightly rustic feel.","Clear Beef Noodle Soup 4/5: The broth was very fragrant and not overly salty.
Side Dishes 3/5: Very ordinary.
Soy milk and black tea were available; the soy milk was decent, but the black tea was watery.
Environment 3/5: Clean.","Overall, the taste was acceptable; the beef had a moderate texture, but the broth was a bit bland. Soy milk, black tea, and various condiments were available."
小木屋鬆餅 政治大學店,Shine Mood Waffle National Chengchi University,"No. 97, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 11651",pancake restaurant,"cheap, budget-friendly, $100-$200",Monday: 10:30 AM – 8:00 PM | Tuesday: 10:30 AM – 8:00 PM | Wednesday: 10:30 AM – 8:00 PM | Thursday: 10:30 AM – 8:00 PM | Friday: 10:30 AM – 8:00 PM | Saturday: 10:30 AM – 8:00 PM | Sunday: 10:30 AM – 8:00 PM,has dine-in seating,"I tried the savory one, and it went beyond my expectation. The chicken meat is tender and juicy. Highly rec.",I first tried this waffle shop inside NTU and I liked it. This specific shop has seats with air condition and restroom inside. It might get packed during school days. Their waffles and drinks are very good with a student-friendly price. Their chicken nuggets honestly tastes better than McDonald's. Their menu has English and foreign and local credit cards are accepted.,"If you have sweet taste or miss the pancakes, just come here and order many favors you want, including sweet and salty favors. :)",Very nice waffles for a cheap price. There are a lot of different options for salty or sugary waffles. Note that there are a lot of people at lunch.,"The regular waffles are delicious and has a really nice value, but the seasonal waffles are mediocre. The waffles for the strawberry with cream waffles (NT 99) in season right now doesn't seem freshly cooked and the portion is smaller than the regular waffles as they only use half a waffle but the strawberries and filling is pretty decent."
湘湘牛排館,Xiang Xiang Steak House,"No. 12, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",steak house,"$200-$400, mid-range, moderate prices",Monday: 11:30 AM – 10:30 PM | Tuesday: 11:30 AM – 10:30 PM | Wednesday: 11:30 AM – 10:30 PM | Thursday: 11:30 AM – 10:30 PM | Friday: 11:30 AM – 10:30 PM | Saturday: 11:30 AM – 10:30 PM | Sunday: 11:30 AM – 10:30 PM,has dine-in seating,"Little bit expensive for students, but recommended to try at least once. Free refill of drink and ice cream, the steak taste is good, but expect to get larger portion.",Amazing black pepper sauce,One of my favorite places to eat in campus! This restaurant offers quick and generous meals for hungry students. The staff are very welcoming and friendly.,"Good , delicious and reasonable affordable price,",Excellent.  I like their soup
